skeptycal/dopamine	Dopamine is a research framework for fast prototyping of reinforcement learning algorithms.	public, fork	2018-11-02T19:08:22Z
skeptycal/euler.go		public, fork	2016-11-01T05:35:14Z
skeptycal/every-programmer-should-know	A collection of (mostly) technical things every software developer should know	public, fork	2019-02-18T05:58:49Z
skeptycal/fastimage_resize	FastImage Resize is an extremely light solution for resizing images in ruby by using libgd	public, fork	2018-10-11T18:42:06Z
skeptycal/flask	The Python micro framework for building web applications.	public, fork	2019-01-25T13:56:55Z
skeptycal/forest	a webgl forest	public, fork	2016-11-24T23:52:13Z
skeptycal/fourier-visualisation		public, fork	2016-05-21T21:02:31Z
skeptycal/geoplotlib	python toolbox for visualizing geographical data and making maps	public, fork	2018-11-27T19:34:21Z
skeptycal/gio	Mirror of the Gio main repository (https://git.sr.ht/~eliasnaur/gio)	public, fork	2022-04-14T07:33:55Z
skeptycal/git	Git Source Code Mirror - This is a publish-only repository and all pull requests are ignored. Please follow Documentation/SubmittingPatches procedure for any of your improvements.	public, fork	2019-03-31T12:46:03Z
skeptycal/github-dashboard	[Chrome extension] Filter events on github.com activity dashboard.	public, fork	2018-11-07T16:12:49Z
skeptycal/github-markdown-toc.go	Easy TOC creation for GitHub README.md (in go)	public, fork	2018-11-14T15:54:22Z
skeptycal/github-vscode-theme	GitHub's VS Code theme	public, fork	2022-03-28T05:58:12Z
skeptycal/github-vue-nuxt	Utilize Vue.js, Nuxt, Vuetify and the GitHub API in this test project	public, fork	2022-02-13T17:54:57Z
skeptycal/github3.py	Hi, I'm a library for interacting with GItHub's REST API in a convenient and ergonomic way. I work on Python 2.7, 3.4, 3.5, 3.6, and 3.7 (and maybe 3.8?)	public, fork	2019-01-24T13:02:02Z
skeptycal/github_cli	CLI-based access to GitHub API v3	public, fork	2017-09-27T22:58:19Z
skeptycal/github_feed	Visually simple yet powerful github feed app.	public, fork	2019-06-09T23:23:25Z
skeptycal/gitignore	A collection of useful .gitignore templates	public, fork	2018-11-08T13:34:29Z
skeptycal/go	The Open Source Data Science Masters	public, fork	2018-09-21T17:01:02Z
skeptycal/go-best-practices	Codeship Golang Best Practices	public, fork	2021-05-11T20:39:29Z
skeptycal/go-container	A container written 100% in Go.	public, fork	2017-01-24T17:56:44Z
skeptycal/go-github	Go library for accessing the GitHub API	public, fork	2019-02-09T00:05:25Z
skeptycal/go-init	An initial structure for building Go web apps.	public, fork	2017-02-17T14:08:42Z
skeptycal/go-mathextra	Extra math functions for Go	public, fork	2015-11-22T10:25:24Z
skeptycal/go-version	A Go (golang) library for parsing and verifying versions and version constraints.	public, fork	2022-03-27T16:11:52Z
skeptycal/google-music-sync	A simple Python script to sync your local MP3 library to Google Play Music	public, fork	2015-04-09T07:13:46Z
skeptycal/google_socks	A proof of concept demonstrating the use of Google Drive for command and control.	public, fork	2018-07-19T19:54:07Z
skeptycal/googledrive	Google Drive R API	public, fork	2018-10-06T17:26:19Z
skeptycal/googlesheets	Google Spreadsheets R API	public, fork	2018-06-29T17:30:23Z
skeptycal/htmldoom	An intuitive, high performance HTML rendering framework	public, fork	2019-09-14T09:08:03Z
skeptycal/http-parser	http request/response parser for c	public, fork	2018-10-29T17:33:37Z
skeptycal/instabot.py	Instagram bot. It works without instagram api, need only login and password. Write on python.	public, fork	2018-11-22T11:29:20Z
skeptycal/iodide	Literate scientific computing and communication for the web	public, fork	2022-02-13T17:55:07Z
skeptycal/jsonparse	A streaming JSON parser written in pure JavaScript for node.js	public, fork	2017-05-09T19:59:21Z
skeptycal/jsonparser	Alternative JSON parser for Go that does not require schema (so far fastest)	public, fork	2018-11-15T19:39:47Z
skeptycal/linear-algebra	Some functions to do computations when using linear algebra	public, fork	2018-09-09T15:34:11Z
skeptycal/littlelisp	A small Lisp interpreter in JavaScript	public, fork	2018-01-09T13:33:22Z
skeptycal/liveocr	Provides an overlay on the computer screen which performs real-time OCR	public, fork	2012-02-10T04:07:50Z
skeptycal/loguru	Python logging made (stupidly) simple	public, fork	2020-08-07T20:28:42Z
skeptycal/mathematics-of-deep-learning	The Mathematics of Deep Learning, SIPB IAP 2018	public, fork	2018-01-18T22:01:11Z
skeptycal/maximum-awesome	Config files for vim and tmux.	public, fork	2019-04-19T03:44:00Z
skeptycal/maya	Datetimes for Humans™	public, fork	2018-10-18T09:31:59Z
skeptycal/media-bias	Measures public sentiment on Twitter towards politicians	public, fork	2021-06-10T23:12:19Z
skeptycal/medium-unlimited	A chrome extension to unlock articles behind medium.com paywall. Try in Chrome Webstore -	public, fork	2022-02-13T17:54:51Z
skeptycal/micropython	MicroPython - a lean and efficient Python implementation for microcontrollers and constrained systems	public, fork	2018-11-04T03:33:35Z
skeptycal/mit-deep-learning	Tutorials, assignments, and competitions for MIT Deep Learning related courses.	public, fork	2019-01-15T04:20:08Z
skeptycal/mit-license	Hosted MIT License with details controlled through this repo	public, fork	2019-01-29T21:51:07Z
skeptycal/models	Models and examples built with TensorFlow	public, fork	2021-03-31T22:15:47Z
skeptycal/myers-visualization	Visualizing Myers diff	public, fork	2016-01-03T02:19:07Z
skeptycal/network-analysis	Social network analysis assignments	public, fork	2018-01-11T15:46:24Z
skeptycal/network-utils-container	Docker container with some network utilities	public, fork	2016-11-11T12:52:57Z
skeptycal/network-visualisation	A python application for visualising a 2-layer full connected network	public, fork	2018-10-28T15:23:46Z
skeptycal/neural-networks	Artificial Neural Networks / Python	public, fork	2018-10-01T17:24:49Z
skeptycal/night-owl-vscode-theme	🌌NIGHT OWL: A VS Code dark theme for contrast for nighttime coding	public, fork	2019-03-01T20:09:14Z
skeptycal/node-record-lpcm16	:microphone: Records a 16-bit signed-integer linear pulse modulation code encoded audio file.	public, fork	2017-06-07T06:51:21Z
skeptycal/nsfw	A super fast and scaleable file watcher that provides a consistent interface on Linux, OSX and Windows	public, fork	2021-09-02T14:16:06Z
skeptycal/numbersoflife	Numbers of Life	public, fork	2022-04-12T08:13:32Z
skeptycal/nuxt.js	The Vue.js Framework	public, fork	2022-03-27T05:18:09Z
skeptycal/nuxt_docs	Documentation of Nuxt.js	public, fork	2019-07-15T11:25:31Z
skeptycal/nytimesbrowse	New York Times Best-Sellers - Single-Page Book browsing	public, fork	2018-05-01T00:34:00Z
skeptycal/ocaml	The core OCaml system: compilers, runtime system, base libraries	public, fork	2018-11-23T16:06:07Z
skeptycal/opencensus-go	A stats collection and distributed tracing framework	public, fork	2018-12-14T21:42:27Z
skeptycal/opencensus-python	A stats collection and distributed tracing framework	public, fork	2021-06-10T23:12:24Z
skeptycal/opencv	Open Source Computer Vision Library	public, fork	2020-10-23T20:58:17Z
skeptycal/opensource.guide	Community guides for open source creators	public, fork	2021-07-13T14:08:18Z
skeptycal/optimization	A collection of the Optimization Algorithms.	public, fork	2018-05-20T11:54:33Z
skeptycal/orderedmap	🔃 An ordered map in Go with amortized O(1) for Set, Get, Delete and Len.	public, fork	2022-02-05T14:18:50Z
skeptycal/pandas	Flexible and powerful data analysis / manipulation library for Python, providing labeled data structures similar to R data.frame objects, statistical functions, and much more	public, fork	2018-11-21T13:46:04Z
skeptycal/papers	notes on ML/CS/etc articles	public, fork	2018-06-12T02:49:32Z
skeptycal/particles.js	A lightweight JavaScript library for creating particles	public, fork	2018-10-26T07:18:03Z
skeptycal/pascal-compiler	Repository for a pascal compiler built using Python	public, fork	2014-12-17T17:04:57Z
